ID,x,y,trayID,richness,rep,spID,state0_v2,state_final,species,tray_type
ID1,0.445,1.395567025,1,1,1,1,C,I,radish,regular
ID2,3.245,1.395567025,1,1,1,1,S,S,radish,regular
ID3,6.045,1.395567025,1,1,1,1,S,S,radish,regular
ID4,8.845,1.395567025,1,1,1,1,S,I,radish,regular
ID5,11.645,1.395567025,1,1,1,1,S,I,radish,regular
ID6,14.445,1.395567025,1,1,1,1,C,I,radish,regular
ID7,17.245,1.395567025,1,1,1,1,S,I,radish,regular
ID8,20.045,1.395567025,1,1,1,1,S,S,radish,regular
ID9,22.845,1.395567025,1,1,1,1,S,S,radish,regular
ID10,1.845,3.820438156,1,1,1,1,S,I,radish,regular
ID11,4.645,3.820438156,1,1,1,1,C,I,radish,regular
ID12,7.445,3.820438156,1,1,1,1,C,I,radish,regular
ID13,10.245,3.820438156,1,1,1,1,S,I,radish,regular
ID14,13.045,3.820438156,1,1,1,1,S,I,radish,regular
ID15,15.845,3.820438156,1,1,1,1,S,I,radish,regular
ID16,18.645,3.820438156,1,1,1,1,S,S,radish,regular
ID17,21.445,3.820438156,1,1,1,1,S,S,radish,regular
ID18,0.445,6.245309287,1,1,1,1,S,S,radish,regular
ID19,3.245,6.245309287,1,1,1,1,S,S,radish,regular
ID20,6.045,6.245309287,1,1,1,1,S,I,radish,regular
ID21,8.845,6.245309287,1,1,1,1,S,I,radish,regular
ID22,11.645,6.245309287,1,1,1,1,S,I,radish,regular
ID23,14.445,6.245309287,1,1,1,1,S,I,radish,regular
ID24,17.245,6.245309287,1,1,1,1,S,S,radish,regular
ID25,20.045,6.245309287,1,1,1,1,S,S,radish,regular
ID26,22.845,6.245309287,1,1,1,1,S,I,radish,regular
ID27,1.845,8.670180417,1,1,1,1,S,S,radish,regular
ID28,4.645,8.670180417,1,1,1,1,S,S,radish,regular
ID29,7.445,8.670180417,1,1,1,1,S,I,radish,regular
ID30,10.245,8.670180417,1,1,1,1,S,I,radish,regular
ID31,13.045,8.670180417,1,1,1,1,C,I,radish,regular
ID32,15.845,8.670180417,1,1,1,1,S,I,radish,regular
ID33,18.645,8.670180417,1,1,1,1,S,S,radish,regular
ID34,21.445,8.670180417,1,1,1,1,C,I,radish,regular
ID35,0.445,11.09505155,1,1,1,1,S,S,radish,regular
ID36,3.245,11.09505155,1,1,1,1,S,S,radish,regular
ID37,6.045,11.09505155,1,1,1,1,S,S,radish,regular
ID38,8.845,11.09505155,1,1,1,1,S,S,radish,regular
ID39,11.645,11.09505155,1,1,1,1,S,I,radish,regular
