trayID,day,planter,plate,domeID,side,Loc_x,Loc_y,temp_PM,richness,shannon,n_allP,n_allP.na,I_all,n_radish,n_arugula,n_basil,n_red_rom,n_green_rom,n_butter,tray_type
1,1,CE,3,5,L,5,1,27.1,1,0,85,85,33,85,0,0,0,0,0,regular
2,2,CE,6,17,L,8,2,26.7,1,0,85,76,37,76,0,0,0,0,0,regular
3,3,KF,7,64,R,1.3,8,25.4,1,0,85,82,33,82,0,0,0,0,0,regular
4,1,CE,2,61,R,7.3,7,23.6,1,0,85,85,40,85,0,0,0,0,0,regular
5,2,CE,4,46,L,1,6,27.6,1,0,85,83,15,83,0,0,0,0,0,regular
6,3,KF,9,6,R,6.3,1,26.6,1,0,85,84,17,84,0,0,0,0,0,regular
7,1,CE,2,38,L,2,5,28.4,1,0,85,83,22,83,0,0,0,0,0,regular
8,2,CE,5,71,L,8,8,22.9,1,0,85,82,66,82,0,0,0,0,0,regular
9,3,KF,7,74,R,2.3,9,24,1,0,85,84,28,84,0,0,0,0,0,regular
10,1,CE,3,34,R,7.3,4,26.2,1,0,85,85,65,85,0,0,0,0,0,regular
12,2,CE,6,37,R,1.3,5,29,1,0,85,83,12,0,83,0,0,0,0,regular
13,3,KF,8,35,L,8,4,27.3,1,0,85,80,12,0,0,80,0,0,0,regular
14,1,CE,3,28,R,1.3,4,28.3,1,0,85,85,10,0,0,0,85,0,0,regular
15,2,CE,6,14,R,5.3,2,28.1,1,0,85,85,8,0,0,0,0,85,0,regular
16,3,KF,8,85,R,4.3,10,22.9,1,0,85,84,11,0,0,0,0,0,84,regular
18,1,CE,3,30,R,3.3,4,27,1,0,85,84,13,0,84,0,0,0,0,regular
19,2,CE,5,87,R,6.3,10,22.3,1,0,85,85,14,0,0,85,0,0,0,regular
20,3,KF,9,23,L,5,3,27,1,0,85,85,12,0,0,0,85,0,0,regular
21,1,CE,2,75,L,3,9,24.2,1,0,238,236,236,236,0,0,0,0,0,regular
22,2,CT,6,18,R,9.3,2,27.6,1,0,238,235,235,235,0,0,0,0,0,regular
23,3,CT,8,29,R,2.3,4,27,1,0,238,238,202,238,0,0,0,0,0,regular
24,1,CE,3,42,R,6.3,5,26.9,1,0,238,235,235,235,0,0,0,0,0,regular
25,2,CT,4,81,R,9.3,9,23.9,1,0,238,234,234,234,0,0,0,0,0,regular
26,3,CT,7,68,R,5.3,8,24.1,1,0,238,236,214,236,0,0,0,0,0,regular
27,1,CE,1,90,R,9.3,10,22.5,1,0,238,236,236,236,0,0,0,0,0,regular
28,2,CT,5,20,L,2,3,26.7,1,0,238,238,208,238,0,0,0,0,0,regular
29,3,CT,8,45,L,9,5,25.9,1,0,238,238,189,238,0,0,0,0,0,regular
30,1,CE,3,32,R,5.3,4,27,1,0,238,237,237,237,0,0,0,0,0,regular
31,2,CT,6,8,L,8,1,26.6,1,0,238,238,8,0,0,0,0,238,0,regular
32,3,CT,8,85,L,4,10,23.1,1,0,238,238,14,0,0,0,0,0,238,regular
34,1,CE,1,22,R,4.3,3,27.6,1,0,238,235,93,0,235,0,0,0,0,regular
35,2,CT,5,24,R,6.3,3,26.4,1,0,238,227,18,0,0,227,0,0,0,regular
36,3,CT,8,33,R,6.3,4,26,1,0,238,237,12,0,0,0,237,0,0,regular
37,1,CE,1,86,R,5.3,10,22.2,1,0,238,238,11,0,0,0,0,238,0,regular
38,2,CT,5,84,L,3,10,23.2,1,0,238,236,9,0,0,0,0,0,236,regular
39,3,CT,8,62,L,8,7,24.1,1,0,238,238,11,0,0,0,0,0,238,regular
40,1,CE,1,55,L,1,7,26.5,1,0,238,238,0,0,238,0,0,0,0,regular
41,2,KF,5,51,R,6.3,6,24.7,2,0.68095384,154,152,59,88,64,0,0,0,0,regular
42,3,CE,7,56,L,2,7,25,2,0.643753618,154,154,105,101,53,0,0,0,0,augmented
43,1,KF,3,11,L,2,2,27.2,2,0.572785062,154,151,86,114,37,0,0,0,0,augmented
44,2,KF,5,20,R,2.3,3,27,2,0.398307114,154,152,62,132,20,0,0,0,0,augmented
45,3,CE,8,31,R,4.3,4,26.3,2,0.68095384,154,151,55,88,63,0,0,0,0,regular
46,1,KF,2,88,L,7,10,22.2,2,0.68095384,154,151,40,88,63,0,0,0,0,regular
47,2,KF,4,79,R,7.3,9,23.1,2,0.68095384,154,153,114,88,65,0,0,0,0,regular
48,3,CE,7,77,R,5.3,9,23.9,2,0.68095384,154,153,134,89,64,0,0,0,0,regular
49,1,KF,3,7,R,7.3,1,27,2,0.68095384,154,154,60,89,65,0,0,0,0,regular
50,2,KF,4,76,R,4.3,9,23.9,2,0.68095384,154,147,114,85,62,0,0,0,0,regular
51,3,CE,9,39,R,3.3,5,26.7,2,0.68095384,154,153,35,89,64,0,0,0,0,regular
52,1,KF,1,69,R,6.3,8,23.8,2,0.68095384,154,153,127,89,64,0,0,0,0,regular
53,2,KF,4,70,R,7.3,8,23.4,2,0.68095384,154,154,0,89,65,0,0,0,0,regular
54,3,CE,9,4,L,4,1,26,2,0.68095384,154,137,17,85,0,52,0,0,0,regular
55,1,KF,2,63,L,9,7,24.3,2,0.68095384,154,151,38,0,88,0,0,0,63,regular
56,2,KF,4,82,L,1,10,23.5,2,0.68095384,154,135,16,64,0,71,0,0,0,regular
