term,spID,sp_ef,.lower,.upper,.width,.point,.interval,nonzero,model
Intercept,1,0.28,-0.06,0.66,0.9,median,hdci,2,AD
Intercept,2,0.04,-0.34,0.43,0.9,median,hdci,2,AD
Intercept,3,-0.98,-1.56,-0.33,0.9,median,hdci,1,AD
Intercept,4,-0.6,-1.18,-0.04,0.9,median,hdci,1,AD
richnessz,1,1.86,1.16,2.6,0.9,median,hdci,1,AD
richnessz,2,1.69,0.91,2.44,0.9,median,hdci,1,AD
richnessz,3,1.2,0.05,2.22,0.9,median,hdci,1,AD
richnessz,4,1.31,0.24,2.21,0.9,median,hdci,1,AD
Intercept,1,1.4,0.99,1.81,0.9,median,hdci,1,SD
Intercept,2,1.07,0.63,1.51,0.9,median,hdci,1,SD
Intercept,3,-0.14,-0.72,0.53,0.9,median,hdci,2,SD
Intercept,4,0.41,-0.15,0.95,0.9,median,hdci,2,SD
richnessz,1,-0.94,-1.72,-0.16,0.9,median,hdci,1,SD
richnessz,2,-0.96,-1.78,-0.17,0.9,median,hdci,1,SD
richnessz,3,-1.34,-2.44,-0.22,0.9,median,hdci,1,SD
richnessz,4,-0.95,-1.87,0.09,0.9,median,hdci,2,SD
Intercept,1,-0.56,-0.94,-0.2,0.9,median,hdci,1,AS
Intercept,2,-1.39,-1.84,-0.89,0.9,median,hdci,1,AS
Intercept,3,-2.39,-2.87,-1.91,0.9,median,hdci,1,AS
Intercept,4,-1.89,-2.36,-1.45,0.9,median,hdci,1,AS
Intercept,5,-2.11,-2.62,-1.57,0.9,median,hdci,1,AS
Intercept,6,-2.13,-2.65,-1.6,0.9,median,hdci,1,AS
richnessz,1,1.87,1.27,2.48,0.9,median,hdci,1,AS
richnessz,2,2.36,1.53,3.19,0.9,median,hdci,1,AS
richnessz,3,2.01,1.29,2.81,0.9,median,hdci,1,AS
richnessz,4,2.09,1.34,2.78,0.9,median,hdci,1,AS
richnessz,5,2.33,1.48,3.19,0.9,median,hdci,1,AS
richnessz,6,2.09,1.29,2.77,0.9,median,hdci,1,AS
Intercept,1,1.01,0.25,1.66,0.9,median,hdci,1,SS
Intercept,2,-0.84,-1.36,-0.29,0.9,median,hdci,1,SS
Intercept,3,-2.87,-3.55,-2.17,0.9,median,hdci,1,SS
Intercept,4,-2.2,-2.86,-1.56,0.9,median,hdci,1,SS
Intercept,5,-2.5,-3.2,-1.86,0.9,median,hdci,1,SS
Intercept,6,-2.45,-3.07,-1.88,0.9,median,hdci,1,SS
richnessz,1,-1.66,-2.71,-0.66,0.9,median,hdci,1,SS
richnessz,2,0.2,-0.66,1.03,0.9,median,hdci,2,SS
richnessz,3,0.33,-0.59,1.31,0.9,median,hdci,2,SS
richnessz,4,0.82,-0.07,1.71,0.9,median,hdci,2,SS
richnessz,5,1.1,0.22,2.06,0.9,median,hdci,1,SS
richnessz,6,0.73,-0.21,1.56,0.9,median,hdci,2,SS
