trayID,species,spID,I,n,trayID_consec,day,planter,plate,domeID,side,x,x1,y,temp_PM,temp_AM,richness,SD,shannon,n_allP,n_allP.na,I_all,n_radish,n_arugula,n_basil,n_red_rom,n_green_rom,n_butter,I_radish,I_arugula,I_basil,I_red_rom,I_green_rom,I_butter,notes,n_others,n_others2,temp_PM_z,richness_z,n_others_z,n_others2_z,n_allP.na_z,n_radish_zsq,n_arugula_zsq,n_basil_zsq,n_red_rom_zsq,n_green_rom_zsq,n_butter_zsq,n_radish_p,n_arugula_p,n_basil_p,n_red_rom_p,n_green_rom_p,n_butter_p
1,radish,1,21,73,1,1,CE,3,5,L,5,5,1,27.1,24.1,1,0.5,-0,85,85,33,85,0,0,0,0,0,33,0,0,0,0,0,NA,0,0,0.5087692836011142,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.0971862870608715,0.27243427192136377,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
2,radish,1,27,64,2,2,CE,6,17,L,8,8,2,26.7,23.7,1,0.5,-0,85,76,37,76,0,0,0,0,0,37,0,0,0,0,0,ROW H NOT PLANTED,0,0,0.38876990774485093,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.172612636986573,0.22089171829702794,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
3,radish,1,21,70,3,3,KF,7,64,R,1,1.3,8,25.4,23.4,1,0.5,-0,85,82,33,82,0,0,0,0,0,33,0,0,0,0,0,NA,0,0,-0.001228063788002936,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.1223284037027719,0.25557079738493005,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
4,radish,1,28,73,4,1,CE,2,61,R,7,7.3,7,23.6,23.2,1,0.5,-0,85,85,40,85,0,0,0,0,0,40,0,0,0,0,0,NA,0,0,-0.541225255141184,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.0971862870608715,0.27243427192136377,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
5,radish,1,6,71,5,2,CE,4,46,L,1,1,6,27.6,25.4,1,0.5,-0,85,83,15,83,0,0,0,0,0,15,0,0,0,0,0,NA,0,0,0.6587685034214426,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.113947698155472,0.2612257183968207,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
6,radish,1,5,72,6,3,KF,9,6,R,6,6.3,1,26.6,24,1,0.5,-0,85,84,17,84,0,0,0,0,0,17,0,0,0,0,0,NA,0,0,0.3587700637807859,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.1055669926081717,0.2668466749974705,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
7,radish,1,10,71,7,1,CE,2,38,L,2,2,5,28.4,25.5,1,0.5,-0,85,83,22,83,0,0,0,0,0,22,0,0,0,0,0,NA,0,0,0.898767255133967,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.113947698155472,0.2612257183968207,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
8,radish,1,54,70,8,2,CE,5,71,L,8,8,8,22.9,22.7,1,0.5,-0,85,82,66,82,0,0,0,0,0,66,0,0,0,0,0,NA,0,0,-0.7512241628896446,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.1223284037027719,0.25557079738493005,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
9,radish,1,16,72,9,3,KF,7,74,R,2,2.3,9,24,24,1,0.5,-0,85,84,28,84,0,0,0,0,0,28,0,0,0,0,0,NA,0,0,-0.42122587928492183,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.1055669926081717,0.2668466749974705,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
10,radish,1,53,73,10,1,CE,3,34,R,7,7.3,4,26.2,23.4,1,0.5,-0,85,85,65,85,0,0,0,0,0,65,0,0,0,0,0,NA,0,0,0.2387706879245226,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,-1.0971862870608715,0.27243427192136377,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
